time_ms,device_time_ms,ecg,upper,lower
28782,,0,3000,1000
28782,,0,3000,1000
28782,,0,3000,1000
28782,,0,3000,1000
28782,,0,3000,1000
28782,,0,3000,1000
28782,,0,3000,1000
28782,,0,3000,1000
28782,,0,3000,1000
28782,,0,3000,1000
28812,,0,3000,1000
28812,,0,3000,1000
28812,,0,3000,1000
28812,,0,3000,1000
28812,,0,3000,1000
28812,,0,3000,1000
28812,,0,3000,1000
28812,,0,3000,1000
28812,,0,3000,1000
28813,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28844,,0,3000,1000
28875,,0,3000,1000
28875,,0,3000,1000
28875,,0,3000,1000
28875,,0,3000,1000
28875,,0,3000,1000
28875,,0,3000,1000
28875,,0,3000,1000
28875,,0,3000,1000
28876,,0,3000,1000
28876,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28906,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28936,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28967,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
28998,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29029,,0,3000,1000
29060,,0,3000,1000
29060,,0,3000,1000
29060,,0,3000,1000
29061,,0,3000,1000
29061,,0,3000,1000
29061,,0,3000,1000
29061,,0,3000,1000
29061,,0,3000,1000
29061,,0,3000,1000
29061,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29092,,0,3000,1000
29122,,0,3000,1000
29122,,0,3000,1000
29122,,0,3000,1000
29122,,0,3000,1000
29123,,0,3000,1000
29123,,0,3000,1000
29123,,0,3000,1000
29123,,0,3000,1000
29123,,0,3000,1000
29123,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29153,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29185,,0,3000,1000
29215,,0,3000,1000
29215,,0,3000,1000
29215,,0,3000,1000
29215,,0,3000,1000
29215,,0,3000,1000
29215,,0,3000,1000
29215,,0,3000,1000
29215,,0,3000,1000
29215,,0,3000,1000
29216,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29246,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29277,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29308,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29339,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29370,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29401,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29432,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29463,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29494,,0,3000,1000
29524,,0,3000,1000
29525,,0,3000,1000
29525,,0,3000,1000
29525,,0,3000,1000
29525,,0,3000,1000
29525,,0,3000,1000
29525,,0,3000,1000
29525,,0,3000,1000
29525,,0,3000,1000
29525,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29555,,0,3000,1000
29586,,0,3000,1000
29586,,0,3000,1000
29586,,0,3000,1000
29586,,0,3000,1000
29586,,0,3000,1000
29587,,0,3000,1000
29587,,0,3000,1000
29587,,0,3000,1000
29587,,0,3000,1000
29587,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29618,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29649,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29680,,0,3000,1000
29711,,0,3000,1000
29711,,0,3000,1000
29711,,0,3000,1000
29711,,0,3000,1000
29711,,0,3000,1000
29711,,0,3000,1000
29712,,0,3000,1000
29712,,0,3000,1000
29712,,0,3000,1000
29712,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29743,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29774,,0,3000,1000
29804,,0,3000,1000
29804,,0,3000,1000
29804,,0,3000,1000
29804,,0,3000,1000
29804,,0,3000,1000
29804,,0,3000,1000
29804,,0,3000,1000
29805,,0,3000,1000
29805,,0,3000,1000
29805,,0,3000,1000
29835,,0,3000,1000
29835,,0,3000,1000
29835,,0,3000,1000
29835,,0,3000,1000
29835,,0,3000,1000
29835,,0,3000,1000
29835,,0,3000,1000
29835,,0,3000,1000
29836,,0,3000,1000
29836,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29867,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29898,,0,3000,1000
29928,,0,3000,1000
29928,,0,3000,1000
29928,,0,3000,1000
29929,,0,3000,1000
29929,,0,3000,1000
29929,,0,3000,1000
29929,,0,3000,1000
29929,,0,3000,1000
29929,,0,3000,1000
29929,,0,3000,1000
29959,,0,3000,1000
29959,,0,3000,1000
29959,,0,3000,1000
29959,,0,3000,1000
29959,,0,3000,1000
29959,,0,3000,1000
29959,,0,3000,1000
29959,,0,3000,1000
29959,,0,3000,1000
29960,,0,3000,1000
29990,,0,3000,1000
29990,,0,3000,1000
29990,,0,3000,1000
29990,,0,3000,1000
29990,,0,3000,1000
29990,,0,3000,1000
29990,,0,3000,1000
29990,,0,3000,1000
29991,,0,3000,1000
29991,,0,3000,1000
30021,,0,3000,1000
30021,,0,3000,1000
30021,,0,3000,1000
30021,,0,3000,1000
30022,,0,3000,1000
30022,,0,3000,1000
30022,,0,3000,1000
30022,,0,3000,1000
30022,,0,3000,1000
30022,,0,3000,1000
30053,,0,3000,1000
30054,,0,3000,1000
30054,,0,3000,1000
30054,,0,3000,1000
30054,,0,3000,1000
30054,,0,3000,1000
30054,,0,3000,1000
30054,,0,3000,1000
30054,,0,3000,1000
30054,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30085,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30116,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30148,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30179,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30211,,0,3000,1000
30242,,0,3000,1000
30242,,0,3000,1000
30242,,0,3000,1000
30242,,0,3000,1000
30242,,0,3000,1000
30242,,0,3000,1000
30242,,0,3000,1000
30242,,0,3000,1000
30242,,0,3000,1000
30243,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30274,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30305,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30337,,0,3000,1000
30368,,0,3000,1000
30368,,0,3000,1000
30368,,0,3000,1000
30368,,0,3000,1000
30368,,0,3000,1000
30368,,0,3000,1000
30368,,0,3000,1000
30368,,0,3000,1000
30369,,0,3000,1000
30369,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30400,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30431,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30463,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30494,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30526,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30557,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30588,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30619,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30650,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30682,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30713,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30744,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30776,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30807,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30839,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30870,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30902,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30933,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30964,,0,3000,1000
30996,,0,3000,1000
