Time (s),Sensor Value
12.962592518503701,17.25
12.967593518703742,17.25
12.972594518903781,17.25
12.977595519103822,17.25
12.982596519303861,12.0
12.987597519503902,21.25
12.992598519703941,21.25
12.997599519903982,21.25
13.002600520104021,23.75
13.007601520304062,13.25
13.012602520504101,13.25
13.017603520704142,13.25
13.022604520904181,19.0
13.027605521104222,19.0
13.032606521304261,19.0
13.0376075215043,19.0
13.042608521704341,16.5
13.04760952190438,13.75
13.052610522104422,13.75
13.05761152230446,13.75
13.062612522504502,9.75
13.06761352270454,13.75
13.072614522904582,13.75
13.07761552310462,13.75
13.082616523304662,13.25
13.0876175235047,11.75
13.092618523704742,11.75
13.09761952390478,11.75
13.102620524104822,18.0
13.10762152430486,15.5
13.112622524504902,15.5
13.11762352470494,15.5
13.122624524904982,15.25
13.127625525105021,16.75
13.132626525305062,16.75
13.137627525505101,16.75
13.142628525705142,16.0
13.147629525905181,15.75
13.152630526105222,15.75
13.157631526305261,15.75
13.162632526505302,10.25
13.167633526705341,12.25
13.172634526905382,12.25
13.177635527105421,12.25
13.182636527305462,20.25
13.187637527505501,18.25
13.192638527705542,18.25
13.197639527905581,18.25
13.202640528105622,18.25
13.207641528305661,17.0
13.212642528505702,17.0
13.217643528705741,17.0
13.222644528905782,19.5
13.227645529105821,21.75
13.232646529305862,21.75
13.237647529505901,21.75
13.242648529705942,11.0
13.247649529905981,11.5
13.252650530106022,11.5
13.257651530306061,11.5
13.262652530506102,27.0
13.267653530706141,40.25
13.272654530906182,40.25
13.277655531106221,40.25
13.282656531306262,31.25
13.287657531506301,15.25
13.292658531706342,15.25
13.297659531906382,15.25
13.302660532106422,14.5
13.307661532306462,14.5
13.312662532506502,14.5
13.317663532706542,14.5
13.322664532906582,6.25
13.327665533106622,6.25
13.332666533306663,6.25
13.337667533506702,6.25
13.342668533706743,10.75
13.347669533906782,14.75
13.352670534106823,14.75
13.357671534306862,14.75
13.362672534506903,21.75
13.367673534706942,17.75
13.372674534906983,17.75
13.377675535107022,17.75
13.382676535307063,14.5
13.387677535507102,14.5
13.392678535707143,14.5
13.397679535907182,14.5
13.402680536107223,8.5
13.407681536307262,8.5
13.412682536507303,8.5
13.417683536707342,8.5
13.422684536907383,12.0
13.427685537107422,12.0
13.432686537307463,12.0
13.437687537507502,12.0
13.442688537707543,16.5
13.447689537907582,16.5
13.452690538107623,16.5
13.457691538307662,16.5
13.462692538507703,4.0
13.467693538707742,4.0
13.472694538907783,4.0
13.477695539107822,4.0
13.482696539307863,6.75
13.487697539507902,9.25
13.492698539707943,9.25
13.497699539907982,9.25
13.502700540108021,14.5
13.507701540308062,12.0
13.512702540508101,12.0
13.517703540708142,12.0
13.522704540908181,14.0
13.527705541108222,14.0
13.532706541308261,14.0
13.537707541508302,14.0
13.542708541708341,14.75
13.547709541908382,14.75
13.552710542108422,14.75
13.557711542308462,14.75
13.562712542508502,12.0
13.567713542708542,12.0
13.572714542908582,12.0
13.577715543108622,12.0
13.582716543308662,10.75
13.587717543508703,10.75
13.592718543708742,10.75
13.597719543908783,10.75
13.602720544108822,15.0
13.607721544308863,15.0
13.612722544508902,15.0
13.617723544708943,15.0
13.622724544908982,15.25
13.627725545109023,15.25
13.632726545309062,15.25
13.637727545509103,15.25
13.642728545709142,11.25
13.647729545909183,11.25
13.652730546109222,11.25
13.657731546309263,11.25
13.662732546509302,11.75
13.667733546709343,11.75
13.672734546909382,11.75
13.677735547109423,11.75
13.682736547309462,12.25
13.687737547509503,12.25
13.692738547709542,12.25
13.697739547909583,12.25
13.702740548109622,11.25
13.707741548309663,11.25
13.712742548509702,11.25
13.717743548709743,11.25
13.722744548909782,9.5
13.727745549109823,9.5
13.732746549309862,9.5
13.737747549509903,9.5
13.742748549709942,10.0
13.747749549909983,10.0
13.752750550110022,10.0
13.757751550310063,10.0
13.762752550510102,16.0
13.767753550710143,16.0
13.772754550910182,16.0
13.777755551110223,16.0
13.782756551310262,14.75
13.787757551510303,14.75
13.792758551710342,14.75
13.797759551910383,14.75
13.802760552110422,12.75
13.807761552310463,12.75
13.812762552510502,12.75
13.817763552710543,12.75
13.822764552910582,15.75
13.827765553110623,15.75
13.832766553310663,15.75
13.837767553510703,15.75
13.842768553710743,19.0
13.847769553910783,19.0
13.852770554110823,19.0
13.857771554310863,19.0
13.862772554510903,12.0
13.867773554710944,12.0
13.872774554910983,12.0
13.877775555111024,12.0
13.882776555311063,16.25
13.887777555511104,16.25
13.892778555711143,16.25
13.897779555911184,16.25
13.902780556111223,3.25
13.907781556311264,3.25
13.912782556511303,3.25
13.917783556711344,3.25
13.922784556911383,17.0
13.927785557111424,17.0
13.932786557311463,17.0
13.937787557511504,17.0
13.942788557711543,18.0
13.947789557911584,18.0
13.952790558111623,18.0
13.957791558311664,18.0
13.962792558511703,16.25
13.967793558711742,16.25
13.972794558911783,16.25
13.977795559111822,16.25
13.982796559311863,12.0
13.987797559511902,12.0
13.992798559711943,12.0
13.997799559911982,12.0
14.002800560112023,15.0
14.007801560312062,15.0
14.012802560512103,15.0
14.017803560712142,15.0
14.022804560912183,16.0
14.027805561112222,16.0
14.032806561312263,16.0
14.037807561512302,16.0
14.042808561712343,15.0
14.047809561912382,15.0
14.052810562112423,15.0
14.057811562312462,15.0
14.062812562512503,13.75
14.067813562712542,13.75
14.072814562912583,13.75
14.077815563112622,13.75
14.082816563312663,20.25
14.087817563512703,22.5
14.092818563712743,22.5
14.097819563912783,22.5
14.102820564112823,18.75
14.107821564312863,16.5
14.112822564512904,16.5
14.117823564712943,16.5
14.122824564912984,25.75
14.127825565113023,25.75
14.132826565313064,25.75
14.137827565513103,25.75
14.142828565713144,10.75
14.147829565913183,10.75
14.152830566113224,10.75
14.157831566313263,10.75
14.162832566513304,13.5
14.167833566713343,13.5
14.172834566913384,13.5
14.177835567113423,13.5
14.182836567313464,15.75
14.187837567513503,15.75
14.192838567713544,15.75
14.197839567913583,15.75
14.202840568113624,16.0
14.207841568313663,16.0
14.212842568513704,16.0
